id,city,x,y,z
1,Aachen-Laurensberg,6.024,50.799,231.0
2,Aalen-ST-Unterkochen,10.119,48.825,455.0
3,Abenberg,10.975,49.239,385.0
4,Abtsdorf,12.915,47.908,445.0
5,Achern-OT-Gamshurst,8.023,48.657,100.0
6,Adelsheim-ST-Leibenstadt,9.419,49.37,280.0
7,Adelshofen,10.174,49.441,430.0
8,Adlkofen,12.261,48.548,498.0
9,Adorf,12.293,50.33,547.0
10,Aerzen/K?nigsf?rde,9.273,52.065,88.0
11,Aglasterhausen-OT-Breit.,9.025,49.366,220.0
12,Ahaus-Wessum,6.941,52.081,45.0
13,Ahlbeck,14.189,53.672,8.0
14,Ahlen-T?nnish?uschen,7.883,51.813,70.0
15,Ahnsbeck,10.289,52.608,54.0
16,Ahrensb?k,10.566,54.005,60.0
17,Ahrensfelde,13.581,52.597,65.0
18,Aitrach,10.087,47.939,596.0
19,Albbruck-OT-Unteralpfen,8.132,47.653,700.0
20,Albstadt-ST-Ebingen,8.998,48.214,750.0
21,Alburg,12.54,48.865,338.0
22,Alfeld-Wispenstein,9.844,51.948,100.0
23,Allershausen,11.604,48.442,440.0
24,Alpirsbach,8.395,48.345,440.0
25,Alsbach-H?hnlein,8.617,49.737,95.0
26,Alsdorf-Zopp,6.141,50.868,153.0
27,Alsfeld,9.245,50.722,295.0
28,Alsheim,8.337,49.761,92.0
29,Alt-Zeschdorf,14.444,52.424,56.0
30,Altenahr-Altenburg,6.99,50.509,173.0
31,Altenberg-OT-Georgenfeld,13.751,50.731,870.0
32,Altenberge,7.467,52.051,107.0
33,Altenfeld,10.957,50.564,603.0
34,Altenglan-M?hlbach,7.462,49.54,200.0
35,Altenhof,13.728,52.921,55.0
36,Altenstadt,8.95,50.29,120.0
37,Altentreptow,13.24,53.683,36.0
38,Alzey,8.123,49.741,170.0
39,Andernach,7.421,50.424,74.0
40,Angern,11.724,52.362,50.0
41,Anklam,13.68,53.829,10.0
42,Ansbach,10.566,49.319,468.0
43,Apolda,11.51,51.018,175.0
44,Arendsee,11.501,52.877,30.0
45,Arnsberg-Neheim,7.978,51.463,160.0
46,Arnschwang,12.805,49.274,383.0
47,Artern,11.292,51.375,166.0
48,Asch,12.47,49.864,704.0
49,Aschau-A.Inn,12.35,48.195,455.0
50,Ascheberg,7.625,51.788,70.0
51,Ascheffel,9.697,54.435,42.0
52,Aschersleben,11.493,51.757,137.0
53,Asperg,9.135,48.9,304.0
54,A?lar,8.446,50.598,212.0
55,Ateritz,12.618,51.719,121.0
